,Year,Link
294,1983/84,https://www.espncricinfo.com/ci/engine/series/index.html?season=1983%2F84;view=season
295,1984,https://www.espncricinfo.com/ci/engine/series/index.html?season=1984;view=season
296,1984/85,https://www.espncricinfo.com/ci/engine/series/index.html?season=1984%2F85;view=season
297,1985,https://www.espncricinfo.com/ci/engine/series/index.html?season=1985;view=season
298,1985/86,https://www.espncricinfo.com/ci/engine/series/index.html?season=1985%2F86;view=season
299,1986,https://www.espncricinfo.com/ci/engine/series/index.html?season=1986;view=season
300,1986/87,https://www.espncricinfo.com/ci/engine/series/index.html?season=1986%2F87;view=season
301,1987,https://www.espncricinfo.com/ci/engine/series/index.html?season=1987;view=season
302,1987/88,https://www.espncricinfo.com/ci/engine/series/index.html?season=1987%2F88;view=season
303,1988,https://www.espncricinfo.com/ci/engine/series/index.html?season=1988;view=season
304,1988/89,https://www.espncricinfo.com/ci/engine/series/index.html?season=1988%2F89;view=season
305,1989,https://www.espncricinfo.com/ci/engine/series/index.html?season=1989;view=season
306,1989/90,https://www.espncricinfo.com/ci/engine/series/index.html?season=1989%2F90;view=season
307,1990,https://www.espncricinfo.com/ci/engine/series/index.html?season=1990;view=season
308,1990/91,https://www.espncricinfo.com/ci/engine/series/index.html?season=1990%2F91;view=season
309,1991,https://www.espncricinfo.com/ci/engine/series/index.html?season=1991;view=season
310,1991/92,https://www.espncricinfo.com/ci/engine/series/index.html?season=1991%2F92;view=season
311,1992,https://www.espncricinfo.com/ci/engine/series/index.html?season=1992;view=season
312,1992/93,https://www.espncricinfo.com/ci/engine/series/index.html?season=1992%2F93;view=season
313,1993,https://www.espncricinfo.com/ci/engine/series/index.html?season=1993;view=season
314,1993/94,https://www.espncricinfo.com/ci/engine/series/index.html?season=1993%2F94;view=season
315,1994,https://www.espncricinfo.com/ci/engine/series/index.html?season=1994;view=season
316,1994/95,https://www.espncricinfo.com/ci/engine/series/index.html?season=1994%2F95;view=season
317,1995,https://www.espncricinfo.com/ci/engine/series/index.html?season=1995;view=season
318,1995/96,https://www.espncricinfo.com/ci/engine/series/index.html?season=1995%2F96;view=season
319,1996,https://www.espncricinfo.com/ci/engine/series/index.html?season=1996;view=season
320,1996/97,https://www.espncricinfo.com/ci/engine/series/index.html?season=1996%2F97;view=season
321,1997,https://www.espncricinfo.com/ci/engine/series/index.html?season=1997;view=season
